ID,Match_name,Date_Time,Prediction_1,Prediction_X,Prediction_2,Average_1,Average_X,Average_2,Final_Result,Value_1,Value_X,Value_2,Probability_1,Probability_X,Probability_2,Edge_1,Edge_X,Edge_2
0,Atletico Belo Horizonte MG - Vitoria BA,"09/07/2016, 22:30",68.0,20.0,13.0,1.48,5.04,7.75,2:1,1.0,1.0,1.0,67.4,19.8,12.8,0.57,0.16,0.1
1,Talleres de Remedios de Escalada - Comunicaciones,"09/07/2016, 22:30",23.0,50.0,26.0,2.77,3.17,2.81,2:0,0.63,1.58,0.73,36.0,31.4,35.4,-13.0,18.5,-9.4
2,Atletico Huila - Club Atlético Junior,"09/07/2016, 23:00",29.0,38.0,34.0,4.98,3.44,1.85,3:1,1.44,1.3,0.63,20.0,29.0,53.8,8.95,8.94,-19.0
3,Deportivo Tachira - Zulia FC,"09/07/2016, 23:00",50.0,31.0,19.0,1.68,3.78,5.47,3:2,0.84,1.17,1.03,59.5,26.4,18.2,-9.5,4.58,0.72
4,Washington Spirit - Seattle Reign FC,"09/07/2016, 23:00",25.0,31.0,43.0,2.52,3.58,2.73,2:1,0.63,1.11,1.17,39.5,27.8,36.5,-14.0,3.13,6.47
5,Montreal Impact - Orlando City SC,"09/07/2016, 23:30",53.0,24.0,24.0,1.63,4.48,5.64,1:4,0.86,1.07,1.35,61.1,22.3,17.7,-8.1,1.68,6.29
6,Zamora FC - Deportivo Lara,"09/07/2016, 23:30",48.0,40.0,13.0,1.68,3.78,5.47,1:2,0.8,1.51,0.71,59.5,26.4,18.2,-11.0,13.5,-5.2
7,Deportivo Moron - Club Atletico Atlanta,"09/08/2016, 00:05",23.0,42.0,36.0,2.83,3.17,2.76,2:1,0.65,1.33,0.99,35.3,31.4,36.2,-12.0,10.5,-0.2
8,Coritiba PR - Gremio RS,"09/08/2016, 00:45",32.0,43.0,24.0,2.5,3.3,3.35,4:0,0.8,1.42,0.8,39.9,30.2,29.7,-7.9,12.7,-5.7
9,Flamengo RJ - Ponte Preta SP,"09/08/2016, 00:45",58.0,26.0,16.0,1.75,3.87,5.78,2:1,1.01,1.0,0.92,56.8,25.8,17.2,1.11,0.18,-1.2
10,Palmeiras SP - Sao Paulo SP,"09/08/2016, 00:45",62.0,21.0,17.0,1.82,3.81,5.24,2:1,1.13,0.8,0.89,54.8,26.2,19.0,7.19,-5.2,-2.0
11,Patriotas Boyacá F.C. - Atlético Nacional Medellin,"09/08/2016, 01:00",45.0,33.0,22.0,2.52,3.26,2.96,2:1,1.13,1.07,0.65,39.5,30.6,33.7,5.44,2.32,-11.0
12,Real Salt Lake - LA Galaxy,"09/08/2016, 01:30",46.0,33.0,20.0,2.08,3.69,3.86,3:3,0.95,1.22,0.77,48.0,27.0,25.9,-2.0,5.96,-5.9
13,Portland Thorns FC - Houston Dash,"09/08/2016, 02:00",46.0,35.0,18.0,1.68,4.08,4.97,3:0,0.77,1.43,0.89,59.5,24.4,20.0,-13.0,10.5,-2.0
14,Condal Club - CD Tuilla,"09/08/2016, 09:45",28.0,48.0,24.0,2.64,3.47,2.64,1:1,0.74,1.66,0.63,37.8,28.7,37.8,-9.8,19.2,-13.0
